installed_apps,to_be_removed,deleted_apps,disabled_apps,failed_to_clean
com.google.android.apps.magazines,com.miui.yellowpage,com.tencent.soter.soterserver,,
com.google.android.apps.maps,com.miuix.editor,com.wdstechnology.android.kryten,,
com.google.android.apps.messaging,com.netflix.mediaclient,com.xiaomi.aiasst.vision,,
com.google.android.apps.photos,com.nf.snake,com.xiaomi.aicr,,
com.google.android.apps.restore,com.spotify.music,com.xiaomi.aon,,
com.google.android.apps.safetyhub,com.sukhavati.gotoplaying.bubble.BubbleShooter.mint,com.xiaomi.barrage,,
com.google.android.apps.setupwizard.searchselector,com.tencent.soter.soterserver,com.xiaomi.bluetooth,,
com.google.android.apps.subscriptions.red,com.wdstechnology.android.kryten,com.xiaomi.calendar,,
com.google.android.apps.tachyon,com.xiaomi.aiasst.vision,com.xiaomi.cameratools,,
com.google.android.apps.wellbeing,com.xiaomi.aicr,com.xiaomi.glgm,,
com.google.android.apps.youtube.music,com.xiaomi.aon,com.xiaomi.joyose,,
com.google.android.appsearch.apk,com.xiaomi.barrage,com.xiaomi.mi_connect_service,,
com.google.android.as,com.xiaomi.bluetooth,com.xiaomi.micloud.sdk,,
com.google.android.as.oss,com.xiaomi.calendar,com.xiaomi.mipicks,,
com.google.android.calendar,com.xiaomi.cameratools,com.xiaomi.mirror,,
com.google.android.captiveportallogin,com.xiaomi.glgm,com.xiaomi.mtb,,
com.google.android.cellbroadcastreceiver,com.xiaomi.joyose,com.xiaomi.payment,,
com.google.android.cellbroadcastreceiver.overlay.miui,com.xiaomi.mi_connect_service,com.xiaomi.simactivate.service,,
com.google.android.cellbroadcastservice,com.xiaomi.micloud.sdk,com.xiaomi.smarthome,,
com.google.android.cellbroadcastservice.overlay.miui,com.xiaomi.midrop,com.xiaomi.touchservice,,
com.google.android.configupdater,com.xiaomi.mipicks,com.xiaomi.trustservice,,
com.google.android.connectivity.resources,com.xiaomi.mirror,com.xiaomi.xmsf,,
com.google.android.contacts,com.xiaomi.mtb,com.xiaomi.xmsfkeeper,,
com.google.android.devicelockcontroller,com.xiaomi.payment,com.zhiliaoapp.musically,,
com.google.android.dialer,com.xiaomi.scanner,org.ifaa.aidl.manager,,
com.google.android.documentsui,com.xiaomi.simactivate.service,,,
com.google.android.ext.services,com.xiaomi.smarthome,,,
com.google.android.ext.shared,com.xiaomi.touchservice,,,
com.google.android.federatedcompute,com.xiaomi.trustservice,,,
com.google.android.feedback,com.xiaomi.xmsf,,,
com.google.android.gm,com.xiaomi.xmsfkeeper,,,
com.google.android.gms,com.zhiliaoapp.musically,,,
com.google.android.gms.location.history,org.ifaa.aidl.manager,,,
com.google.android.gms.supervision,,,,
com.google.android.googlequicksearchbox,,,,
com.google.android.gsf,,,,
com.google.android.health.connect.backuprestore,,,,
com.google.android.healthconnect.controller,,,,
com.google.android.hotspot2.osulogin,,,,
com.google.android.inputmethod.latin,,,,
com.google.android.marvin.talkback,,,,
com.google.android.modulemetadata,,,,
com.google.android.networkstack,,,,
com.google.android.networkstack.tethering,,,,
com.google.android.ondevicepersonalization.services,,,,
com.google.android.onetimeinitializer,,,,
com.google.android.overlay.devicelockcontroller,,,,
com.google.android.overlay.gmsconfig.asi,,,,
com.google.android.overlay.gmsconfig.common,,,,
com.google.android.overlay.gmsconfig.comms,,,,
com.google.android.overlay.gmsconfig.geotz,,,,
com.google.android.overlay.gmsconfig.gsa,,,,
com.google.android.overlay.gmsconfig.personalsafety,,,,
com.google.android.overlay.gmsconfig.photos,,,,
com.google.android.overlay.gmsconfig.searchselector,,,,
com.google.android.overlay.modules.captiveportallogin.forframework,,,,
com.google.android.overlay.modules.documentsui,,,,
com.google.android.overlay.modules.ext.services,,,,
com.google.android.overlay.modules.healthfitness.forframework,,,,
com.google.android.overlay.modules.modulemetadata.forframework,,,,
com.google.android.overlay.modules.permissioncontroller,,,,
com.google.android.overlay.modules.permissioncontroller.forframework,,,,
com.google.android.packageinstaller,,,,
com.google.android.partnersetup,,,,
com.google.android.permissioncontroller,,,,
com.google.android.photopicker,,,,
com.google.android.printservice.recommendation,,,,
com.google.android.projection.gearhead,,,,
com.google.android.providers.media.module,,,,
com.google.android.rkpdapp,,,,
com.google.android.safetycenter.resources,,,,
com.google.android.sdksandbox,,,,
com.google.android.server.deviceconfig.resources,,,,
com.google.android.setupwizard,,,,
com.google.android.tts,,,,
com.google.android.uwb.resources,,,,
com.google.android.videos,,,,
com.google.android.webview,,,,
com.google.android.wifi.dialog,,,,
com.google.android.wifi.resources,,,,
com.google.android.wifi.resources.xiaomi,,,,
com.google.android.youtube,,,,
com.google.mainline.adservices,,,,
com.google.mainline.telemetry,,,,
com.jewelsblast.ivygames.Adventure.free,,,,
com.jiiov.fingerprint_factorytest,,,,
com.lbe.security.miui,,,,
com.linkedin.android,,,,
